id,property_type,adress,neighborhood,city,price,sq_m_built,sq_m_floor_area,n_bedrooms,bathrooms,floor_y,year_built,exterior_x,lift_x,terrace,balcony,second hand,needs renovating,parking,swimming pool,garden,air conditioning,heating,central_heating,heating_type,consumption_in_mkw/m2_year,emissions_in_kgco2/m2_year,orientation,description
103375204,Flat / apartment,"calle de Sant Pau, 25",El Raval,Barcelona,530000.0,80,,2,1,3,1912.0,True,True,True,True,True,False,False,False,False,True,True,central,,91.0,17.0,,"Beautiful renovated apartment of 80 m2, 2 bedrooms and 1 bathroom in renovated building with elevator and spectacular communal terrace in the Raval just 2 blocks from the Rambla.You enter the property through a small hall where there is a closet that is used as a checkroom, on the right hand side is the door to the bathroom with shower recently renovated with double entrance door from the room and the entrance hall. Then you enter the spacious dining room with open American kitchen, then you reach the large, bright and airy living room with balconies overlooking a quiet street.To the left side of the hallway is a first bedroom with double bed and closet, and at the end of the living room is the master bedroom, very spacious and also with a balcony overlooking the street. The property has ducted heating and air conditioning and is sold with all the furniture, appliances and equipment. The property was recently completely renovated, has an elevator in perfect condition, wonderful terrace with furniture and laundry area with washing machines and dryers free for the whole community.El Raval has been one of the neighborhoods that has turned in a more spectacular way its composition from having a bad reputation, perhaps because of its origins outside the walls in the beginnings of the city, to a bohemian neighborhood with a multicultural atmosphere. A lot of terraces, bars and restaurants, as well as fashion stores have opened space in the neighborhood along with craftsmen and artists who want to keep their galleries near the Museum of Contemporary Art of Barcelona and the Center of Contemporary Culture accessible by walking along the famous Ramblas of Barcelona. The Palau Güell and the Boqueria are guaranteed tourist attractions.This neighborhood of contrasts still has a lot of room for improvement, but it is possible that the current boom and push will give it an image similar to that of El Born in the not too distant future, opening up an investment opportunity with great possibilities for revaluation.El Raval can be the right neighborhood if you want to buy an apartment as a medium term investment, since even being in the center of the city, its price per square meter is still economical and with great potential for revaluation due to the urban improvements projected for the future of this neighborhood."
94000904,Flat / apartment,Hospìtal,El Raval,Barcelona,165000.0,58,49.0,2,1,3,1850.0,True,False,False,True,True,False,False,False,False,False,False,no,,311.0,65.0,south,"This two-bedroom flat is located in an unbeatable area, just a few metres from Rambla del Raval and Plaza del Padró. The property is completely exterior and has three façades that ensure excellent ventilation and luminosity in all the rooms. The flat has a spacious living-dining room, the kitchen is ideal for updating, as is the bathroom. In addition, it is important to highlight the height of the ceiling with exposed beams, which gives a touch of charm and distinction to the flat.The Raval is a neighbourhood that makes those who know it fall in love with it. It is a place where diversity and authenticity blend perfectly, where the bohemian atmosphere of the emblematic Bar Marsella combines with the music and culture of the Catalan rumba. But the Raval is much more than that, it is a neighbourhood that has managed to maintain its essence over time and remains true to its roots.If you are looking for an authentic and lively place in the heart of Barcelona, this flat is an excellent option, don't miss the opportunity to live in one of the most emblematic neighbourhoods of the city! Aincasa, making your dreams come true."
104382041,Flat / apartment,El Raval,Ciutat Vella,Barcelona,430000.0,155,89.0,3,2,1,2003.0,True,True,True,True,True,False,False,False,False,True,True,central,,,,,"Spacious and modern apartment on one side of Las RamblasThis spacious and innovative apartment is located in an almost new building (2003), with an excellent central location on a quiet street and a few steps from Las Ramblas and the Liceu metro.The apartment, which is located on the first floor and has two elevators, offers convenience and accessibility. It also has a parking space not included in the price, with an additional cost of 30,000 euros for a large car in the same building and an elevator from the parking lot to the ground floor.The apartment is very well distributed, starting with a large hall, it has 3 bedrooms, two of them doubles, with closets and a study area, and a very spacious suite with a private bathroom. The property has two full bathrooms, offering additional convenience for residents and visitors. This property adapts to various needs.The kitchen, which is independent and fully equipped, including a dishwasher, provides functionality and practicality on a daily basis, and also has access to a private patio. The living room is spacious and contemporary, with large windows and a double balcony with views of Las Ramblas.This apartment has a security alarm, heating (gas) and air conditioning throughout the apartment. It has good thermal and acoustic insulation, high ceilings and parquet floors.The property has a large communal terrace with excellent views of the city. In short, this apartment not only offers comfort and spacious spaces, but also practical amenities and an unbeatable location in the heart of Barcelona.The Raval neighborhood in Barcelona is a bustling and diverse enclave brimming with culture and entertainment. Renowned for its rich cultural and leisure offering, this area is a magnet for residents and visitors alike. With an eclectic mix of theatres, art galleries and music venues, it offers a vibrant and enriching experience for lovers of art and culture."
97791792,Flat / apartment,rambla del Raval,El Raval,Barcelona,279999.0,89,80.0,2,2,3,1920.0,True,False,False,True,True,False,False,False,False,True,True,individual,electric,15.0,71.0,north,"MERC SANT ANTONI - RAMBLA RAVAL, two apartments on the same surface, high profitability. currently temporarily rented to students, Erasmus, etc. Rent apartment ""A"" (900. -€ ) and apartment ""B"" (800. - ) are equipped, furnished and with new facilities 5 years ago, two equipped bedrooms, living room in each apartment, modern and functional, two bathrooms equipped with washer and dryer, impeccable with charm, careful renovation down to the last detail, sold free of tenants, contracts that terminate in 2 months.Location RAMBLA RAVAL, close to the bus, FCG, and the L1 and L2 metro station, theaters, cinema, high school, 200 meters from the Sant Antoni Market, Plaza Universitat near the Goya theater, MACBA Museum of Contemporary Art of Barcelona.Excellent purchase opportunity to enjoy the city center, you can live in one of the apartments and rent another, or continue with temporary leases, with high return on investment."
104397583,Flat / apartment,calle de les Carretes,El Raval,Barcelona,230000.0,70,,2,2,1,1900.0,True,True,False,True,True,False,False,False,False,True,False,no,,90.0,190.0,north,"Immotecnics exclusively presents this incredible apartment in the heart of Barcelona, a few meters from Paral-lel and very close to Passeig de Colom in one of the few communities with an elevator in the area.We find a property of 70m2 built, distributed in an entrance with hall, laundry room, bathroom with shower, double room, a double room type suite with full bathroom with bathtub, spaces for cabinets and access to the balcony.The kitchen is American style, the spacious living room has access to the balcony and has a wall with a stone finish that gives it a special touch.Property features:2 double bedrooms2 bathroomsAmerican kitchenAluminum carpentryCentralized A/CThe house has a boiler for hot water and the farm has an elevator.Do you want to live in a paradisiacal environment? So, do not hesitate and call us to schedule a visit.**EXPENSES AND TAXES APART FROM THE SALE PRICE**Attention Owners!Do you need to sell your home?'Immotecnics real estate is not a traditional real estate agency, we are a real estate boutique.We bet more on quality than quantity in our portfolio of properties. In this way we can work and invest more for and for each of our properties and personalize personal relationships, in order to offer the best homes to our buying clients'With the experience of more than 3000 closed operations.Contact us or come visit us at any of our boutiques in BARCELONA, GRANOLLERS and CALDES D´ESTRAC."
102336106,Flat / apartment,El Raval,Ciutat Vella,Barcelona,310000.0,73,,2,1,4,,True,True,False,True,True,False,False,False,False,True,True,individual,,233.0,,,"Beautiful and bright apartment in RavalPractical and comfortable apartment strategically located in one of the most bohemian part of the city. The building is original from 1900 and has lift. The apartment’s lay out is distributed through 73sqm with a bright living room, individual bedroom, a double bedroom, a functional kitchen, laundry and complete bathroom.It's renovation elegant, modern and functional gives to the apartment a special charming and a unique character.It has an excellent location in Ciutat Vella, easily connected to Ronda Sant Antoni, Gran Via and Ronda Sant Pau.In turn, it has easy access to the dynamic Sant Antoni Market and the traditional Boqueria market located on the Ramblas.Wooded spaces between squares, parks, promenades, the sea, marinas and other circulatory routes of a good green and recreational scale.It has great public transport communication such as the surface bus network and the L1, L2 and L3 metro lines, which connect to nearby stations.The connection with the Ronda del Litoral through branch 21 is also direct and easily accessible for all types of private vehicles.The university, the museums, the restaurants, the cafeterias, the cultural centers are part of the many forms of recreation and cultural development that the Ciutat Vella area presents in constant renovation and improvement, becoming one of the last and best consolidation spaces and restoration of the central areas of the city."
101044355,Flat / apartment,El Raval,Ciutat Vella,Barcelona,335000.0,149,,4,2,0,1900.0,True,False,False,False,True,False,False,False,False,False,False,no,,128.0,26.0,,"Renovated first floor for sale in Raval NordSplendid first floor apartment conditioned as an office and refurbished with high quality finishes in the heart of the historic center of Barcelona. Located in a pedestrian street of Raval Alto, very close to Plaça Universitat, next to Joaquín Costa street, one of the most vibrant and cosmopolitan streets of the city.The premises have an area of 149 m2, all on the first floor, and the ceilings are high, about four meters. Its vertical amplitude makes it breathe spaciousness and the glazed divisions give it a great luminosity, to which also contributes the rear patio, which brings a great flow of natural light to that area. The premises have a complete bathroom, kitchen office and storage spaces. All the facilities are in perfect condition, the result of a meticulous comprehensive renovation carried out in 2009.The buildings is located in the up-and-coming neighbourhood of el Raval, which is adjacent to the old gothic quarter, south of La Rambla. Thanks to its central location and proximity to main tourist attractions, the neighbourhood, is undergoing major changes in recent years: new art galleries, cool designer shops, restaurants and bars have been opened, and the new large project in process of construction next door is a part of the urban development of the area."
102741132,Flat / apartment,El Raval,Ciutat Vella,Barcelona,127000.0,33,,2,1,5,1819.0,True,False,False,True,True,False,False,False,False,False,True,,,271.0,53.0,north,"VISTALEGRE - REELS. - TWO-ROOM APARTMENT FOR SALE IN THE RAVAL NEIGHBORHOOD. Apartment for sale with two bedrooms, living room with kitchenette, bathroom with shower. Very bright high floor, in excellent condition, stoneware floor and aluminum windows. Apartment to move into, good location, very close to Ronda Sant Pau and Paral. lel. A comprehensive rehabilitation of water, electricity, gas and façade installations was carried out on the property. (The indicated RRP does not include taxes or writing expenses).FOR OWNERS:1. Do you need to sell to buy? donpiso can buy your house by giving you 10% in 48 hours and the rest before a Notary Public.two. Economic problems? We help you by giving you an agreed amount each month while we sell your house. No expenses of any kind.3. Do you sell an apartment with a mortgage? While we manage the sale, we advance the monthly fee.Four. Reforms? at the best price and we finance them within the mortgage.5. The best mortgage? In donpiso you find it and with preferential conditions.6. Inheritances and divorces? we help you and coordinate everything.Get informed:."
104348134,Flat / apartment,calle del Notariat,El Raval,Barcelona,649000.0,118,,3,2,3,1860.0,True,True,False,True,True,False,False,False,False,True,True,individual,,,,,"Wonderful apartment in the prestigious Notariát street, in the upper part of the Raval neighborhood, a few meters from the MACBA museum and two steps from Plaza Catalunya. A house that has an area of 117m2 and that, due to its orientation, receives natural light throughout the day.Entering this luxurious apartment we find: a large hall, 3 double bedrooms and a very spacious and elegantly decorated open-plan living room, which receives direct light in the afternoon, ideal for enjoying a coffee and a good reading. It has an equipped and fully furnished kitchen, a spacious and cozy dining room next to the kitchen, a large pantry, a complete bathroom with a bathtub and an extra service for guests.This magnificent apartment has original and restored dream hydraulic floors. In each room you will find a different one! The apartment also has seven balconies, natural gas heating, air conditioning and ""Climalit"" windows that, thanks to their glass, allow better thermal insulation and protect from external noise.The building has an elevator and the apartment also includes a storage room in the attic of the building. The attic floor belongs to the community and the rental money is used to reduce community expenses.Come and discover this high-standing apartment and enjoy its views of one of the emblematic gardens of the Condal city. We invite you to enjoy this jewel of the city.Come visit it and let yourself be enchanted by this UniqueHome!"
103801017,Flat / apartment,calle de la Reina Amàlia,El Raval,Barcelona,138500.0,50,45.0,2,2,1,1900.0,False,False,False,True,True,True,False,False,False,False,False,no,,200.0,40.0,,"This unfurnished flat is at Carrer de la Reina Amàlia, 08001, Barcelona, Barcelona, is in the district of Ciutat Vella, on floor 1. It is a flat, built in 1900, that has 50 m2 of which 45 m2 are useful and has 2 rooms and 2 bathrooms.It is interior property. It includes floor tiles, cocina amueblada, balcón, aluminum windows, to reform, luminous and stairs."
